Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found ,Device name 
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.94,12,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.11.42,10,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.43,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.71,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.110,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.126,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.134,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.155,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.11.105,4,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.41,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.52,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.78,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.115,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.117,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.120,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.143,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.1.221,2,,,
Grant Konvalinka & Harrison,cisco-spark-base,192.168.11.58,2,,,
Grant Konvalinka & Harrison,ssl,192.168.11.51,3,,,
Grant Konvalinka & Harrison,ssl,192.168.1.171,2,,,
Grant Konvalinka & Harrison,ssl,192.168.1.85,1,,,
Grant Konvalinka & Harrison,ssl,192.168.1.91,1,,,
Grant Konvalinka & Harrison,ssl,192.168.11.84,1,,,
LogicForce,cisco-spark-audio-video,172.16.1.64,"22,216",,,
LogicForce,cisco-spark-audio-video,192.168.168.51,"18,340",,,
LogicForce,cisco-spark-audio-video,192.168.17.75,"15,929",,,
LogicForce,cisco-spark-audio-video,192.168.17.9,"7,083",,,
LogicForce,cisco-spark-audio-video,172.16.1.54,"5,842",,,
LogicForce,cisco-spark-audio-video,172.16.1.59,"5,501",,,
LogicForce,cisco-spark-audio-video,192.168.17.121,"3,276",,,
LogicForce,cisco-spark-audio-video,192.168.17.63,"2,303",,,
LogicForce,cisco-spark-audio-video,192.168.17.52,"1,841",,,
LogicForce,cisco-spark-audio-video,192.168.168.67,"1,392",,,
LogicForce,cisco-spark-audio-video,172.16.1.75,"1,364",,,
LogicForce,cisco-spark-audio-video,192.168.17.202,"1,242",,,
LogicForce,cisco-spark-audio-video,192.168.17.153,"1,241",,,
LogicForce,cisco-spark-audio-video,172.16.1.65,857,,,
LogicForce,cisco-spark-audio-video,172.16.1.72,404,,,
LogicForce,cisco-spark-audio-video,192.168.168.120,308,,,
LogicForce,cisco-spark-audio-video,192.168.17.59,249,,,
LogicForce,cisco-spark-audio-video,192.168.17.192,145,,,
LogicForce,cisco-spark-audio-video,172.16.1.74,81,,,
LogicForce,cisco-spark-audio-video,192.168.17.236,66,,,
LogicForce,cisco-spark-base,172.16.1.63,24,,,
LogicForce,cisco-spark-base,172.16.10.211,20,,,
LogicForce,cisco-spark-base,172.16.10.223,8,,,
LogicForce,cisco-spark-base,172.16.1.68,4,,,
LogicForce,cisco-spark-base,192.168.168.114,4,,,
LogicForce,cisco-spark-base,172.16.1.73,2,,,
LogicForce,ssl,172.16.10.207,14,,,
LogicForce,ssl,172.16.1.93,6,,,
LogicForce,ssl,192.168.17.106,3,,,
Neal and Harwell,cisco-spark-audio-video,192.168.1.69,"28,464",,,
Neal and Harwell,cisco-spark-audio-video,192.168.1.114,"21,283",,,
Neal and Harwell,cisco-spark-audio-video,192.168.1.113,"8,838",,,
Neal and Harwell,cisco-spark-audio-video,172.16.18.23,"1,554",,,
Neal and Harwell,cisco-spark-audio-video,172.16.18.15,641,,,
Neal and Harwell,cisco-spark-audio-video,172.16.17.36,633,,,
Neal and Harwell,cisco-spark-audio-video,172.16.18.11,470,,,
Neal and Harwell,cisco-spark-audio-video,172.16.18.53,240,,,
Neal and Harwell,cisco-spark-audio-video,172.16.17.24,80,,,
Neal and Harwell,cisco-spark-base,192.168.1.181,50,,,
Neal and Harwell,cisco-spark-base,192.168.1.59,22,,,
Neal and Harwell,cisco-spark-base,172.16.17.46,16,,,
Neal and Harwell,cisco-spark-base,172.16.18.29,6,,,
Neal and Harwell,cisco-spark-base,192.168.1.100,4,,,
Neal and Harwell,cisco-spark-base,192.168.1.191,4,,,
Neal and Harwell,cisco-spark-base,172.16.17.31,2,,,
Neal and Harwell,cisco-spark-base,172.16.17.33,2,,,
Neal and Harwell,cisco-spark-base,172.16.17.35,2,,,
Neal and Harwell,cisco-spark-base,192.168.1.141,2,,,
Neal and Harwell,web-browsing,172.16.17.61,1,,,
Boyd Corp,cisco-spark-audio-video,172.19.64.198,"29,513",,,
Boyd Corp,cisco-spark-audio-video,172.19.64.143,"27,667",,,
Boyd Corp,cisco-spark-audio-video,172.28.132.220,"1,744",,,
Boyd Corp,cisco-spark-audio-video,172.28.133.33,"1,086",,,
Boyd Corp,cisco-spark-audio-video,192.168.11.158,797,,,
Boyd Corp,cisco-spark-audio-video,192.168.101.143,556,,,
Boyd Corp,cisco-spark-audio-video,192.168.101.246,401,,,
Boyd Corp,cisco-spark-audio-video,192.168.101.215,369,,,
Boyd Corp,cisco-spark-audio-video,192.168.101.149,321,,,
Boyd Corp,cisco-spark-audio-video,192.168.11.103,286,,,
Boyd Corp,cisco-spark-audio-video,10.7.11.141,164,,,
Boyd Corp,cisco-spark-audio-video,172.28.130.51,126,,,
Boyd Corp,cisco-spark-audio-video,192.168.101.23,40,,,
Boyd Corp,cisco-spark-audio-video,172.16.8.141,16,,,
Boyd Corp,cisco-spark-audio-video,10.7.11.106,10,,,
Boyd Corp,cisco-spark-audio-video,172.16.10.30,7,,,
Boyd Corp,cisco-spark-audio-video,10.7.11.62,4,,,
Boyd Corp,cisco-spark-audio-video,10.7.11.161,3,,,
Boyd Corp,cisco-spark-audio-video,172.16.8.51,2,,,
Boyd Corp,cisco-spark-base,172.19.64.178,148,,,
Boyd Corp,cisco-spark-base,172.19.64.82,90,,,
Boyd Corp,cisco-spark-base,172.16.8.165,66,,,
Boyd Corp,cisco-spark-base,10.7.11.105,62,,,
Boyd Corp,cisco-spark-base,10.98.130.157,60,,,
Boyd Corp,cisco-spark-base,10.7.11.117,58,,,
Boyd Corp,cisco-spark-base,10.7.11.148,58,,,
Boyd Corp,cisco-spark-base,10.7.11.21,56,,,
Boyd Corp,cisco-spark-base,192.168.101.142,56,,,
Boyd Corp,cisco-spark-base,192.168.11.178,53,,,
Boyd Corp,cisco-spark-base,172.16.8.105,50,,,
Boyd Corp,cisco-spark-base,172.16.8.156,46,,,
Boyd Corp,cisco-spark-base,10.7.11.71,40,,,
Boyd Corp,cisco-spark-base,192.168.11.185,38,,,
Boyd Corp,cisco-spark-base,172.16.10.122,31,,,
Boyd Corp,cisco-spark-base,192.168.11.133,26,,,
Boyd Corp,cisco-spark-base,192.168.11.118,18,,,
Boyd Corp,cisco-spark-base,172.16.8.101,16,,,
Boyd Corp,cisco-spark-base,172.16.8.107,16,,,
Boyd Corp,cisco-spark-base,172.28.132.207,16,,,
Boyd Corp,cisco-spark-base,192.168.11.156,14,,,
Boyd Corp,cisco-spark-base,192.168.11.131,12,,,
Boyd Corp,cisco-spark-base,10.10.0.190,10,,,
Boyd Corp,cisco-spark-base,172.19.64.210,10,,,
Boyd Corp,cisco-spark-base,192.1.3.133,8,,,
Boyd Corp,cisco-spark-base,192.168.11.104,8,,,
Boyd Corp,cisco-spark-base,192.168.11.151,8,,,
Boyd Corp,cisco-spark-base,192.168.101.203,8,,,
Boyd Corp,cisco-spark-base,10.6.100.210,7,,,
Boyd Corp,cisco-spark-base,10.7.11.22,6,,,
Boyd Corp,cisco-spark-base,10.10.0.128,6,,,
Boyd Corp,cisco-spark-base,172.16.8.219,6,,,
Boyd Corp,cisco-spark-base,192.168.11.117,6,,,
Boyd Corp,cisco-spark-base,192.168.11.141,6,,,
Boyd Corp,cisco-spark-base,10.6.100.159,5,,,
Boyd Corp,cisco-spark-base,10.6.100.177,5,,,
Boyd Corp,cisco-spark-base,192.168.11.106,5,,,
Boyd Corp,cisco-spark-base,10.3.51.74,4,,,
Boyd Corp,cisco-spark-base,10.7.11.84,4,,,
Boyd Corp,cisco-spark-base,10.7.11.100,4,,,
Boyd Corp,cisco-spark-base,10.7.11.162,4,,,
Boyd Corp,cisco-spark-base,10.10.0.240,4,,,
Boyd Corp,cisco-spark-base,10.98.130.60,4,,,
Boyd Corp,cisco-spark-base,10.98.130.74,4,,,
Boyd Corp,cisco-spark-base,192.168.2.114,4,,,
Boyd Corp,cisco-spark-base,192.168.11.148,4,,,
Boyd Corp,cisco-spark-base,10.6.100.68,3,,,
Boyd Corp,cisco-spark-base,10.98.130.92,3,,,
Boyd Corp,cisco-spark-base,172.19.64.103,3,,,
Boyd Corp,cisco-spark-base,192.168.11.182,3,,,
Boyd Corp,cisco-spark-base,192.168.11.212,3,,,
Boyd Corp,cisco-spark-base,172.16.8.98,2,,,
Boyd Corp,cisco-spark-base,172.16.8.145,2,,,
Boyd Corp,cisco-spark-base,172.16.8.206,2,,,
Boyd Corp,cisco-spark-base,172.19.64.107,2,,,
Boyd Corp,cisco-spark-base,172.19.64.137,2,,,
Boyd Corp,cisco-spark-base,192.168.11.138,2,,,
Boyd Corp,cisco-spark-base,192.168.11.165,2,,,
Boyd Corp,cisco-spark-base,192.168.11.210,2,,,
Boyd Corp,cisco-spark-base,192.168.11.214,2,,,
Boyd Corp,cisco-spark-base,192.168.111.176,2,,,
Boyd Corp,cisco-spark-base,10.6.100.113,1,,,
Boyd Corp,cisco-spark-base,10.6.100.158,1,,,
Boyd Corp,cisco-spark-base,10.98.130.179,1,,,
Boyd Corp,cisco-spark-base,192.168.11.101,1,,,
Boyd Corp,cisco-spark-base,192.168.11.132,1,,,
Boyd Corp,cisco-spark-base,192.168.11.146,1,,,
Boyd Corp,cisco-spark-base,192.168.11.209,1,,,
Boyd Corp,ssl,10.7.11.211,57,,,
Boyd Corp,ssl,10.7.5.100,50,,,
Boyd Corp,ssl,192.168.11.123,31,,,
Boyd Corp,ssl,172.28.133.80,12,,,
Boyd Corp,ssl,192.168.22.103,1,,,
Boyd Corp,http-proxy,172.16.8.209,35,,,
Boyd Corp,http-proxy,172.16.8.126,31,,,
Boyd Corp,http-proxy,172.16.8.128,10,,,
Boyd Corp,http-proxy,172.16.8.169,7,,,
Boyd Corp,http-proxy,192.1.3.146,4,,,
Boyd Corp,http-proxy,10.3.51.25,1,,,
Boyd Corp,http-proxy,172.16.8.77,1,,,
Boyd Corp,http-proxy,172.16.8.92,1,,,
Boyd Corp,http-proxy,172.16.8.183,1,,,
Boyd Corp,http-proxy,172.16.8.186,1,,,
Boyd Corp,http-proxy,172.19.64.166,1,,,
Boyd Corp,webex-base,172.28.135.51,14,,,
Boyd Corp,webex-base,172.28.133.10,11,,,
Boyd Corp,webex-base,10.7.11.24,2,,,
Boyd Corp,webex-base,10.7.11.26,1,,,
Boyd Corp,webex-base,172.28.130.214,1,,,
Boyd Corp,webex-base,172.28.133.218,1,,,
Boyd Corp,web-browsing,10.255.3.190,4,,,
Boyd Corp,web-browsing,10.98.130.132,1,,,
Boyd Corp,web-browsing,192.168.87.22,1,,,
Boyd Corp,smtp-base,192.168.87.26,4,,,
Boyd Corp,cisco-wlc-mobility,10.7.1.8,1,,,
Boyd Corp,cisco-wlc-mobility,192.168.87.25,1,,,
Crystal Management,cisco-spark-audio-video,172.25.80.211,"44,808",,,
Crystal Management,cisco-spark-audio-video,172.25.99.220,"23,072",,,
Crystal Management,cisco-spark-audio-video,172.25.88.170,880,,,
Crystal Management,cisco-spark-base,172.25.81.88,121,,,
Crystal Management,cisco-spark-base,172.25.99.169,91,,,
Crystal Management,cisco-spark-base,172.25.88.249,38,,,
Crystal Management,cisco-spark-base,172.25.80.212,30,,,
Crystal Management,cisco-spark-base,172.25.88.178,2,,,
Crystal Management,webex-base,172.25.80.210,1,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-audio-video,10.41.21.24,"23,839",,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-audio-video,10.30.128.83,"22,480",,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-audio-video,10.41.64.16,"1,132",,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-audio-video,192.168.241.15,196,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-audio-video,10.41.64.14,109,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-audio-video,10.20.128.63,4,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.20.128.88,66,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.30.128.67,14,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.80.129.108,10,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.20.128.112,8,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.30.128.89,4,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.64.10,4,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.80.128.97,4,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.30.128.50,2,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.30.128.63,2,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.64.21,2,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.80.128.99,2,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.21.45,1,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.21.50,1,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.21.66,1,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.21.68,1,,,
"Leitner, Williams, Dooley and Napolitan",cisco-spark-base,10.41.64.22,1,,,
"Leitner, Williams, Dooley and Napolitan",ssl,10.80.128.91,15,,,
"Leitner, Williams, Dooley and Napolitan",ssl,10.80.128.83,4,,,
"Leitner, Williams, Dooley and Napolitan",ssl,10.20.128.68,1,,,
"Leitner, Williams, Dooley and Napolitan",web-browsing,10.80.64.58,1,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.150,"14,353",,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.149,"8,346",,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.59,"4,859",,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.50,"4,415",,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.159,"4,038",,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.146,"3,005",,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.113,336,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.108,280,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.60,157,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.48,72,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.68,20,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.144,5,,,
Ragsdale Liggett PLLC,cisco-spark-audio-video,130.51.1.73,4,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.179,58,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.67,56,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.70,54,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.95,54,,,
Ragsdale Liggett PLLC,cisco-spark-base,192.168.11.14,54,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.120,20,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.49,14,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.112,4,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.116,4,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.121,2,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.126,2,,,
Ragsdale Liggett PLLC,cisco-spark-base,130.51.1.167,2,,,
Ragsdale Liggett PLLC,ssl,130.51.1.71,11,,,
Ragsdale Liggett PLLC,ssl,130.51.1.46,6,,,
Ragsdale Liggett PLLC,ssl,130.51.1.41,3,,,
Ragsdale Liggett PLLC,ssl,130.51.1.124,1,,,
Lake City,cisco-spark-audio-video,10.1.1.106,"39,279",,,
Lake City,cisco-spark-audio-video,10.7.7.149,3,,,
Lake City,cisco-spark-base,10.10.1.114,140,,,
Lake City,cisco-spark-base,10.5.5.122,6,,,
Lake City,cisco-spark-base,10.5.5.196,6,,,
Lake City,cisco-spark-base,10.1.1.221,4,,,
Lake City,cisco-spark-base,10.2.2.113,4,,,
Lake City,cisco-spark-base,10.5.5.131,4,,,
Lake City,cisco-spark-base,10.5.5.108,2,,,
Lake City,ssl,10.7.1.103,83,,,
Lake City,ssl,10.1.1.195,37,,,
Lake City,ssl,10.7.7.184,32,,,
Lake City,ssl,10.7.1.153,29,,,
Lake City,ssl,10.7.7.189,17,,,
Lake City,ssl,10.3.3.122,11,,,
Lake City,ssl,10.4.1.16,6,,,
Lake City,ssl,10.6.6.102,6,,,
Lake City,ssl,10.3.3.101,5,,,
Lake City,ssl,10.7.7.204,5,,,
Lake City,ssl,192.168.4.102,4,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.79,"2,314",,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.79,"2,060",,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.199,"1,972",,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.177,"1,811",,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.212,"1,559",,,
FP1 Strategies,cisco-spark-audio-video,10.124.186.135,"1,524",,,
FP1 Strategies,cisco-spark-audio-video,10.124.186.89,"1,170",,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.184,936,,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.118,759,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.5,756,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.185,743,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.154,735,,,
FP1 Strategies,cisco-spark-audio-video,10.124.186.146,732,,,
FP1 Strategies,cisco-spark-audio-video,10.124.184.231,663,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.148,650,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.47,482,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.191,472,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.7,458,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.230,441,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.77,403,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.198,400,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.96,356,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.25,320,,,
FP1 Strategies,cisco-spark-audio-video,10.124.186.189,312,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.174,289,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.159,285,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.181,280,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.193,276,,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.142,266,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.214,188,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.208,170,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.147,156,,,
FP1 Strategies,cisco-spark-audio-video,10.124.186.91,153,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.128,151,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.64,140,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.197,83,,,
FP1 Strategies,cisco-spark-audio-video,10.124.184.106,81,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.12,80,,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.75,80,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.11,72,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.78,70,,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.160,42,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.159,40,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.40,30,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.40,21,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.29,11,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.58,11,,,
FP1 Strategies,cisco-spark-audio-video,10.124.184.213,9,,,
FP1 Strategies,cisco-spark-audio-video,10.124.189.104,9,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.137,9,,,
FP1 Strategies,cisco-spark-audio-video,10.124.185.110,8,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.142,8,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.225,8,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.109,8,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.226,7,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.101,6,,,
FP1 Strategies,cisco-spark-audio-video,10.124.184.117,5,,,
FP1 Strategies,cisco-spark-audio-video,10.124.184.170,5,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.0,4,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.65,4,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.173,3,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.59,3,,,
FP1 Strategies,cisco-spark-audio-video,10.124.187.86,2,,,
FP1 Strategies,cisco-spark-audio-video,10.124.190.58,2,,,
FP1 Strategies,cisco-spark-audio-video,10.124.191.196,2,,,
FP1 Strategies,cisco-spark-audio-video,10.124.188.199,1,,,
FP1 Strategies,cisco-spark-base,10.124.185.119,52,,,
FP1 Strategies,cisco-spark-base,10.124.184.232,36,,,
FP1 Strategies,cisco-spark-base,10.124.188.2,36,,,
FP1 Strategies,cisco-spark-base,10.124.191.153,24,,,
FP1 Strategies,cisco-spark-base,10.124.191.238,16,,,
FP1 Strategies,cisco-spark-base,10.124.187.174,14,,,
FP1 Strategies,cisco-spark-base,10.124.188.196,14,,,
FP1 Strategies,cisco-spark-base,10.124.189.220,14,,,
FP1 Strategies,cisco-spark-base,10.124.191.97,14,,,
FP1 Strategies,cisco-spark-base,10.124.188.28,12,,,
FP1 Strategies,cisco-spark-base,10.124.187.134,10,,,
FP1 Strategies,cisco-spark-base,10.124.189.32,10,,,
FP1 Strategies,cisco-spark-base,10.124.185.124,8,,,
FP1 Strategies,cisco-spark-base,10.124.189.103,8,,,
FP1 Strategies,cisco-spark-base,10.124.189.125,8,,,
FP1 Strategies,cisco-spark-base,10.124.189.213,8,,,
FP1 Strategies,cisco-spark-base,10.124.191.131,8,,,
FP1 Strategies,cisco-spark-base,10.124.191.145,8,,,
FP1 Strategies,cisco-spark-base,10.124.186.95,6,,,
FP1 Strategies,cisco-spark-base,10.124.187.13,6,,,
FP1 Strategies,cisco-spark-base,10.124.187.57,6,,,
FP1 Strategies,cisco-spark-base,10.124.187.65,6,,,
FP1 Strategies,cisco-spark-base,10.124.188.19,6,,,
FP1 Strategies,cisco-spark-base,10.124.188.73,6,,,
FP1 Strategies,cisco-spark-base,10.124.188.141,6,,,
FP1 Strategies,cisco-spark-base,10.124.188.230,6,,,
FP1 Strategies,cisco-spark-base,10.124.189.16,6,,,
FP1 Strategies,cisco-spark-base,10.124.189.133,6,,,
FP1 Strategies,cisco-spark-base,10.124.190.31,6,,,
FP1 Strategies,cisco-spark-base,10.124.190.174,6,,,
FP1 Strategies,cisco-spark-base,10.124.184.195,4,,,
FP1 Strategies,cisco-spark-base,10.124.184.217,4,,,
FP1 Strategies,cisco-spark-base,10.124.184.254,4,,,
FP1 Strategies,cisco-spark-base,10.124.185.156,4,,,
FP1 Strategies,cisco-spark-base,10.124.185.203,4,,,
FP1 Strategies,cisco-spark-base,10.124.185.228,4,,,
FP1 Strategies,cisco-spark-base,10.124.186.207,4,,,
FP1 Strategies,cisco-spark-base,10.124.187.74,4,,,
FP1 Strategies,cisco-spark-base,10.124.187.116,4,,,
FP1 Strategies,cisco-spark-base,10.124.187.193,4,,,
FP1 Strategies,cisco-spark-base,10.124.187.209,4,,,
FP1 Strategies,cisco-spark-base,10.124.187.249,4,,,
FP1 Strategies,cisco-spark-base,10.124.188.78,4,,,
FP1 Strategies,cisco-spark-base,10.124.188.164,4,,,
FP1 Strategies,cisco-spark-base,10.124.188.219,4,,,
FP1 Strategies,cisco-spark-base,10.124.189.56,4,,,
FP1 Strategies,cisco-spark-base,10.124.189.139,4,,,
FP1 Strategies,cisco-spark-base,10.124.190.53,4,,,
FP1 Strategies,cisco-spark-base,10.124.190.57,4,,,
FP1 Strategies,cisco-spark-base,10.124.190.101,4,,,
FP1 Strategies,cisco-spark-base,10.124.190.231,4,,,
FP1 Strategies,cisco-spark-base,10.124.191.151,4,,,
FP1 Strategies,cisco-spark-base,10.124.180.24,2,,,
FP1 Strategies,cisco-spark-base,10.124.184.215,2,,,
FP1 Strategies,cisco-spark-base,10.124.184.229,2,,,
FP1 Strategies,cisco-spark-base,10.124.184.241,2,,,
FP1 Strategies,cisco-spark-base,10.124.185.5,2,,,
FP1 Strategies,cisco-spark-base,10.124.185.130,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.2,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.26,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.27,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.61,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.85,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.130,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.140,2,,,
FP1 Strategies,cisco-spark-base,10.124.186.244,2,,,
FP1 Strategies,cisco-spark-base,10.124.187.71,2,,,
FP1 Strategies,cisco-spark-base,10.124.187.121,2,,,
FP1 Strategies,cisco-spark-base,10.124.187.161,2,,,
FP1 Strategies,cisco-spark-base,10.124.187.198,2,,,
FP1 Strategies,cisco-spark-base,10.124.187.245,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.4,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.8,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.12,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.24,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.90,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.108,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.111,2,,,
FP1 Strategies,cisco-spark-base,10.124.188.158,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.24,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.35,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.38,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.41,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.84,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.93,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.97,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.105,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.130,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.173,2,,,
FP1 Strategies,cisco-spark-base,10.124.189.190,2,,,
FP1 Strategies,cisco-spark-base,10.124.190.11,2,,,
FP1 Strategies,cisco-spark-base,10.124.190.14,2,,,
