Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Davenport Group,web-browsing,172.25.88.38,81,,,
Davenport Group,web-browsing,172.25.96.246,73,,,
Davenport Group,web-browsing,172.25.101.100,53,,,
Davenport Group,web-browsing,172.25.80.76,48,,,
Davenport Group,web-browsing,172.25.96.121,41,,,
Davenport Group,web-browsing,172.25.89.14,40,,,
Davenport Group,web-browsing,172.25.88.145,37,,,
Davenport Group,web-browsing,172.25.96.87,33,,,
Davenport Group,web-browsing,172.25.96.30,27,,,
Davenport Group,web-browsing,172.25.88.23,20,,,
Davenport Group,web-browsing,172.25.80.65,16,,,
Davenport Group,web-browsing,172.25.80.72,15,,,
Davenport Group,web-browsing,172.25.102.40,15,,,
Davenport Group,web-browsing,172.25.81.24,12,,,
Davenport Group,web-browsing,172.25.101.115,12,,,
Davenport Group,web-browsing,172.25.80.225,11,,,
Davenport Group,web-browsing,172.25.81.119,11,,,
Davenport Group,web-browsing,172.25.88.70,11,,,
Davenport Group,web-browsing,172.25.98.18,10,,,
Davenport Group,web-browsing,172.25.101.168,9,,,
Davenport Group,web-browsing,172.25.81.6,8,,,
Davenport Group,web-browsing,172.25.81.99,5,,,
Davenport Group,web-browsing,172.25.103.243,5,,,
Davenport Group,web-browsing,172.25.88.60,4,,,
Davenport Group,web-browsing,172.25.88.245,3,,,
Davenport Group,web-browsing,172.25.80.91,2,,,
Davenport Group,web-browsing,172.25.88.194,2,,,
Davenport Group,web-browsing,172.25.81.197,1,,,
Davenport Group,salesforce-base,172.25.81.60,48,,,
Davenport Group,salesforce-base,172.25.81.102,18,,,
Davenport Group,salesforce-base,172.25.88.23,18,,,
Davenport Group,salesforce-base,172.25.81.189,13,,,
Davenport Group,salesforce-base,172.25.89.31,12,,,
Davenport Group,salesforce-base,172.25.88.38,9,,,
Davenport Group,salesforce-base,172.25.81.114,7,,,
Davenport Group,salesforce-base,172.25.81.157,7,,,
Davenport Group,salesforce-base,172.25.96.48,6,,,
Davenport Group,salesforce-base,172.25.88.145,5,,,
Davenport Group,salesforce-base,172.25.96.121,4,,,
Davenport Group,salesforce-base,172.25.101.168,3,,,
Davenport Group,salesforce-base,172.25.81.24,2,,,
Davenport Group,salesforce-base,172.25.96.246,2,,,
Davenport Group,salesforce-base,172.25.80.76,1,,,
Davenport Group,salesforce-base,172.25.88.60,1,,,
Davenport Group,salesforce-base,172.25.101.115,1,,,
Davenport Group,vmware-view,172.25.101.100,130,,,
Davenport Group,vmware-view,172.25.88.145,4,,,
Davenport Group,ssl,172.25.81.157,21,,,
Davenport Group,ssl,197.168.1.134,15,,,
Davenport Group,ssl,172.25.88.145,4,,,
Davenport Group,ssl,172.25.96.36,4,,,
Davenport Group,ssl,172.25.80.72,3,,,
Davenport Group,ssl,172.25.81.6,2,,,
Davenport Group,ssl,172.25.96.87,2,,,
Davenport Group,ssl,172.25.81.189,1,,,
Davenport Group,ssl,172.25.101.100,1,,,
Davenport Group,airwatch,172.25.80.65,1,,,
Davenport Group,airwatch,172.25.102.40,1,,,
Webb Sanders,vmware-carbon-black,10.1.15.60,"2,586",,,
Neal and Harwell,vmware-carbon-black,172.16.18.16,"1,384",,,
Neal and Harwell,vmware-carbon-black,172.16.18.5,22,,,
Neal and Harwell,vmware-view,192.168.1.191,62,,,
Neal and Harwell,vmware-view,192.168.1.192,43,,,
Neal and Harwell,vmware-view,192.168.1.183,39,,,
Neal and Harwell,vmware-view,192.168.1.114,25,,,
Neal and Harwell,vmware-view,192.168.1.109,21,,,
Neal and Harwell,vmware-view,192.168.1.198,21,,,
Neal and Harwell,vmware-view,192.168.1.185,19,,,
Neal and Harwell,vmware-view,192.168.1.182,17,,,
Neal and Harwell,ssl,172.16.17.43,2,,,
Neal and Harwell,ssl,192.168.1.165,2,,,
Sutterfield Financial Group,vmware,192.168.0.235,"1,540",,,
Sutterfield Financial Group,vmware,192.168.0.231,65,,,
Sutterfield Financial Group,vmware,192.168.10.5,8,,,
Sutterfield Financial Group,vmware,192.168.10.30,3,,,
Sutterfield Financial Group,vmware,192.168.10.6,2,,,
Sutterfield Financial Group,ssl,192.168.0.96,22,,,
Sutterfield Financial Group,ssl,192.168.0.90,6,,,
Hawley Nicholson law,vmware-carbon-black,10.0.0.77,"1,273",,,
Hawley Nicholson law,vmware-carbon-black,65.8.186.169,4,,,
Hawley Nicholson law,vmware-carbon-black,13.227.111.200,1,,,
Hawley Nicholson law,vmware-carbon-black,54.239.180.195,1,,,
Sterling Construction,vmware,10.130.144.10,"1,072",,,
Sterling Construction,vmware,10.130.56.22,88,,,
Sterling Construction,vmware,10.130.56.23,87,,,
Sterling Construction,vmware,10.130.56.211,2,,,
Sterling Construction,ssl,10.130.56.204,7,,,
Sterling Construction,ssl,10.130.56.197,4,,,
Sterling Construction,web-browsing,10.130.56.197,1,,,
McBrayer PLLC,vmware-view,192.168.1.161,139,,,
McBrayer PLLC,vmware-view,192.168.1.169,106,,,
McBrayer PLLC,vmware-view,192.168.1.114,104,,,
McBrayer PLLC,vmware-view,192.168.1.145,77,,,
McBrayer PLLC,vmware-view,192.168.1.204,74,,,
McBrayer PLLC,vmware-view,192.168.1.116,67,,,
McBrayer PLLC,vmware-view,192.168.1.197,35,,,
McBrayer PLLC,vmware-view,192.168.1.13,20,,,
McBrayer PLLC,vmware-view,192.168.1.218,17,,,
McBrayer PLLC,vmware-view,192.168.1.237,15,,,
McBrayer PLLC,vmware-view,192.168.1.39,13,,,
McBrayer PLLC,vmware-view,192.168.1.239,11,,,
McBrayer PLLC,vmware-view,192.168.13.131,11,,,
McBrayer PLLC,vmware-view,192.168.1.53,10,,,
McBrayer PLLC,vmware-view,192.168.1.155,10,,,
McBrayer PLLC,vmware-view,192.168.1.70,7,,,
McBrayer PLLC,vmware-view,192.168.1.201,7,,,
McBrayer PLLC,vmware-view,192.168.1.86,6,,,
McBrayer PLLC,vmware-view,192.168.1.230,6,,,
McBrayer PLLC,vmware-view,192.168.1.180,4,,,
McBrayer PLLC,vmware-view,192.168.1.216,4,,,
McBrayer PLLC,vmware-view,192.168.1.151,3,,,
McBrayer PLLC,vmware-view,192.168.1.154,3,,,
McBrayer PLLC,vmware-view,169.254.88.214,2,,,
McBrayer PLLC,vmware-view,169.254.249.110,2,,,
McBrayer PLLC,vmware-view,169.254.154.234,1,,,
McBrayer PLLC,vmware-view,192.168.0.16,1,,,
McBrayer PLLC,vmware-view,192.168.0.56,1,,,
McBrayer PLLC,vmware-view,192.168.0.98,1,,,
McBrayer PLLC,vmware-view,192.168.1.153,1,,,
McBrayer PLLC,vmware-view,192.168.1.165,1,,,
McBrayer PLLC,vmware-view,192.168.1.189,1,,,
McBrayer PLLC,vmware-view,192.168.1.215,1,,,
McBrayer PLLC,vmware-view,192.168.1.251,1,,,
McBrayer PLLC,ssl,192.168.1.218,9,,,
McBrayer PLLC,ssl,192.168.1.87,3,,,
Lake City,vmware,10.3.3.25,360,,,
Lake City,ssl,10.7.7.149,185,,,
Lake City,ssl,192.168.4.105,35,,,
Lake City,ssl,10.7.1.103,26,,,
Lake City,ssl,10.3.3.122,10,,,
Lake City,ssl,192.168.4.140,6,,,
Lake City,ssl,10.7.1.153,3,,,
Lake City,ssl,10.3.3.100,2,,,
Lake City,ssl,10.7.1.96,2,,,
Lake City,ssl,10.1.1.193,1,,,
Lake City,salesforce-base,10.7.7.149,1,,,
Corvid Technologies,vmware-carbon-black,10.3.12.56,250,,,
Corvid Technologies,vmware-carbon-black,10.3.12.64,166,,,
Corvid Technologies,vmware-carbon-black,10.3.12.68,79,,,
Corvid Technologies,vmware-carbon-black,172.32.252.141,26,,,
Corvid Technologies,vmware-carbon-black,10.100.0.13,6,,,
Corvid Technologies,ssl,10.100.10.25,5,,,
Corvid Technologies,ssl,172.32.252.48,2,,,
Corvid Technologies,ssl,10.100.10.11,1,,,
Corvid Technologies,ssl,10.100.252.12,1,,,
Corvid Technologies,web-browsing,10.100.10.25,1,,,
Visser Precision,vmware-carbon-black,10.55.13.91,233,,,
Visser Precision,ssl,10.55.12.50,2,,,
Visser Precision,ssl,10.55.12.137,1,,,
FP1 Strategies,vmware-carbon-black,10.124.189.205,188,,,
FP1 Strategies,ssl,10.124.188.78,2,,,
FP1 Strategies,ssl,10.124.184.190,1,,,
FP1 Strategies,ssl,10.124.187.8,1,,,
FP1 Strategies,ssl,10.124.190.3,1,,,
Biz Technology Solutions,vmware,10.10.2.243,77,,,
Biz Technology Solutions,vmware,10.10.2.245,77,,,
Biz Technology Solutions,ssl,10.10.3.74,6,,,
Biz Technology Solutions,ssl,10.10.3.61,2,,,
Biz Technology Solutions,ssl,10.10.3.71,2,,,
Biz Technology Solutions,ssl,10.10.3.150,1,,,
PBS Modular,vmware,192.168.0.83,55,,,
PBS Modular,vmware,192.168.0.82,52,,,
Brainchip Inc,ssl,172.16.3.16,56,,,
Brainchip Inc,ssl,172.18.10.10,3,,,
Brainchip Inc,web-browsing,172.18.40.5,1,,,
Cyber Reliant Corp.,ssl,10.254.254.1,34,,,
Cyber Reliant Corp.,ssl,10.10.13.101,5,,,
Cyber Reliant Corp.,vmware,10.254.254.1,15,,,
NetHope,webdav,172.25.80.195,16,,,
NetHope,webdav,172.25.80.192,10,,,
NetHope,webdav,172.25.98.212,10,,,
NetHope,webdav,172.25.88.116,5,,,
NetHope,ssl,172.25.96.1,8,,,
NetHope,web-browsing,172.25.96.1,5,,,
Versiant,ssl,10.129.3.55,28,,,
Versiant,ssl,10.129.3.118,13,,,
Versiant,ssl,10.129.3.81,3,,,
Versiant,ssl,10.129.3.135,1,,,
Versiant,ssl,10.129.3.198,1,,,
Versiant,ssl,10.129.3.201,1,,,
McNally Industries,ssl,192.72.10.88,36,,,
McNally Industries,ssl,192.72.10.111,1,,,
Corvid Cyberdefense,web-browsing,10.51.255.148,24,,,
Corvid Cyberdefense,web-browsing,10.51.255.125,2,,,
Corvid Cyberdefense,web-browsing,10.51.255.133,2,,,
Corvid Cyberdefense,web-browsing,10.51.255.150,2,,,
Corvid Cyberdefense,web-browsing,10.51.255.124,1,,,
Pope Flynn Group,vmware-carbon-black,10.31.102.14,14,,,
Pope Flynn Group,vmware-carbon-black,10.31.102.19,8,,,
Pope Flynn Group,vmware-view,10.160.4.139,2,,,
Pope Flynn Group,vmware-view,10.160.4.116,1,,,
Joe Gibbs Racing,ssl,10.0.100.164,12,,,
Joe Gibbs Racing,vmware,10.0.100.220,2,,,
Joe Gibbs Racing,vmware,10.0.100.221,2,,,
Joe Gibbs Racing,vmware,10.0.100.222,2,,,
Joe Gibbs Racing,vmware,10.0.100.223,1,,,
Joe Gibbs Racing,vmware,10.0.100.224,1,,,
Joe Gibbs Racing,vmware,10.0.100.225,1,,,
Mountaineer Holdings,vmware,172.16.18.23,12,,,
Mountaineer Holdings,ssl,172.16.18.13,8,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.40.184,7,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.0.91,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.16.64,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.32.86,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.33.98,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.96.216,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.120.91,1,,,
Sterling Construction Company,HTTPS.BROWSER,10.130.120.170,1,,,
Sterling Construction Company,Microsoft.Portal,10.130.96.218,1,,,
Victor Gray Financial Services,webdav,172.25.81.229,4,,,
Victor Gray Financial Services,webdav,172.25.81.239,4,,,
Victor Gray Financial Services,webdav,172.25.96.154,4,,,
Victor Gray Financial Services,webdav,172.25.81.238,3,,,
Iomax USA Inc,ssl,192.168.2.131,13,,,
ILG Financial,webdav,172.25.80.10,4,,,
ILG Financial,webdav,172.25.80.12,4,,,
ILG Financial,webdav,172.25.100.43,3,,,
Huntsource,webdav,172.25.80.170,9,,,
JS Perkins Consulting,webdav,172.25.81.51,7,,,
Northeast Tool,ssl,10.100.2.192,5,,,
Northeast Tool,ssl,10.100.2.131,2,,,
Tier 1 Solutions,ssl,192.168.111.17,5,,,
Tier 1 Solutions,ssl,192.168.111.40,2,,,
True Financial,webdav,172.25.98.187,7,,,
Moran Logistics,ssl,10.110.0.11,6,,,
"Wolfe, Inc.",ssl,10.0.0.222,5,,,
"Wolfe, Inc.",ssl,10.0.0.23,1,,,
Ragsdale Liggett PLLC,vmware-view,130.51.1.61,3,,,
Ragsdale Liggett PLLC,ssl,130.51.1.164,1,,,
Secure Estate Solutions,webdav,172.25.88.88,3,,,
Akoustis,ssl,172.16.5.62,1,,,
Burger Fi,ssl,192.168.11.34,1,,,
Hardwire llc,ssl,10.10.4.53,1,,,
JJ Wade,vmware-view,192.168.168.79,1,,,
WelbeHealth,ssl,10.12.11.74,1,,,
