Top values of organization.name,Top values of network.application,Top values of source.ip,Top values of url.original,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Toyota&model=Tundra&year=2012&trim=Grade&city=Mansfield&state=MA&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Toyota&model=Tundra&year=2013&trim=Grade&city=Mount%20Vernon&state=OH&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/consumers/verify,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Toyota-Tundra-Concord-NC_w642_c10137,1,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=50&sort=BEST&dynamicRadius=true&make=Toyota&model=Tundra&certified=false&oneAccountId=auth0|oasc|476250035",1,,,
Cabarrus County,web-browsing,,"helix.carfax.com/search/v2/consumers/auth0|oasc|476250035/vehicles?tpQualityThreshold=150&tpPositions=1,2,3&tpValueBadges=GOOD,GREAT&zip=28027&radius=500&sort=BEST&make=Toyota&model=Tundra&urlInfo=Toyota-Tundra-Concord-NC_w642_c10137&cabType=Crew%20Cab,Extended%20Cab&driveTypes=4WD&mileageMax=80000&page=2&priceMax=30000&cutoff=20&endIndex=25&oneAccountId=auth0|oasc|476250035",1,,,
Cabarrus County,web-browsing,,helix.carfax.com/search/v2/vehicles/5TFUY5F18AX116787?oneAccountId=auth0|oasc|476250035,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger_w195,12,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=GRAFTON&state=WV&pageType=VDP,4,,,
Cabarrus County,web-browsing,,helix.carfax.com/recipe/onPage/Used-Dodge-Charger-GT_t14119,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Bronx&state=NY&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Sterling%20Heights&state=MI&pageType=VDP,2,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Bayside&state=NY&pageType=VDP,1,,,
Cabarrus County,web-browsing,,helix.carfax.com/seo/v2/breadcrumb?make=Dodge&model=Charger&year=2018&trim=GT&city=Bradenton&state=FL&pageType=VDP,1,,,
