Top values of organization.name,Top values of network.application,Top values of url.original,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
ILG Financial,http-audio,springsteenbruce_darknessontheedge_01badlands.m4a,,1,,,
WelbeHealth,ssl,springer.met.vgwort.de/,,3,,,
WelbeHealth,ssl,springer.met.vgwort.de/,,3,,,
WelbeHealth,ssl,springer.met.vgwort.de/,,2,,,
WelbeHealth,ssl,springwellwater.com/,,2,,,
WelbeHealth,ssl,springboard-cdn.appadvice.com/,,1,,,
WelbeHealth,ssl,springloadedtechnology.com/,,1,,,
Company Combo,ssl,springmedia.go2cloud.org/,,10,,,
Iomax USA Inc,ssl,springmpayprod.mepspay.com:4443/,,5,,,
Iomax USA Inc,ssl,springify.io/,,3,,,
Iomax USA Inc,ssl,springbot_www_production.s3.amazonaws.com/,,2,,,
Joe Gibbs Racing,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Joe Gibbs Racing,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Mountaineer Holdings,ssl,springbot_www_production.s3.amazonaws.com/,,6,,,
Mountaineer Holdings,ssl,springbot_www_production.s3.amazonaws.com/,,4,,,
Sterling Construction,ssl,springbot_www_production.s3.amazonaws.com/,,7,,,
Sterling Construction,ssl,springcomp.gallerycdn.vsassets.io/,,1,,,
"Leitner, Williams, Dooley and Napolitan",ssl,springbot_www_production.s3.amazonaws.com/,,2,,,
"Leitner, Williams, Dooley and Napolitan",ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
"Leitner, Williams, Dooley and Napolitan",ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
"Leitner, Williams, Dooley and Napolitan",ssl,springbot-assets.s3.amazonaws.com/,,1,,,
"Leitner, Williams, Dooley and Napolitan",ssl,springernature.eu.qualtrics.com/,,1,,,
"Leitner, Williams, Dooley and Napolitan",ssl,springmagnoliaphotography.pixieset.com/,,1,,,
McBrayer PLLC,ssl,springer.met.vgwort.de/,,2,,,
McBrayer PLLC,ssl,springhous2.engine.betterbot.com/,,2,,,
McBrayer PLLC,web-browsing,springleaf.p.delivery.net/m/u/springleaf/u.asp?mid=1219223726&cid=14221407842,,1,,,
McBrayer PLLC,web-browsing,springleaf.p.delivery.net/m/u/springleaf/u_p.asp,,1,,,
NetHope,web-browsing,springer.met.vgwort.de/na/pw-vgzm.415900-10.1007-s11947-015-1528-6?gtmcb=1209369647,,1,,,
NetHope,web-browsing,springer.met.vgwort.de/na/pw-vgzm.415900-10.1007-s11947-015-1528-6?gtmcb=1446535642,,1,,,
NetHope,web-browsing,springer.met.vgwort.de/na/pw-vgzm.415900-10.1007-s11947-015-1528-6?gtmcb=163108864,,1,,,
NetHope,web-browsing,springer.met.vgwort.de/na/pw-vgzm.415900-10.1007-s11947-015-1528-6?gtmcb=822193894,,1,,,
NetHope,web-browsing,springer.met.vgwort.de/na/vgzm.415900-10.1007-s11625-016-0383-3?gtmcb=1575089680,,1,,,
NetHope,web-browsing,springer.met.vgwort.de/na/vgzm.415900-10.1007-s11625-016-0383-3?gtmcb=982237333,,1,,,
Schiffmans Jewelers,ssl,springbot_www_production.s3.amazonaws.com/,,2,,,
Schiffmans Jewelers,ssl,springbot_www_production.s3.amazonaws.com/,,2,,,
Schiffmans Jewelers,web-browsing,springfieldfalls_transimage.rgb,,1,,,
Schiffmans Jewelers,web-browsing,springfieldfallsflipped.bsv3,,1,,,
Gaston Legal,ssl,springbot_www_production.s3.amazonaws.com/,,3,,,
Gaston Legal,ssl,spring-paper-7451.ck.page/,,2,,,
Pope Flynn Group,ssl,springroll-tc.pbskids.org/,,5,,,
"PBI Performance Products, Inc",ssl,springbot-assets.s3.amazonaws.com/,,1,,,
"PBI Performance Products, Inc",ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
"PBI Performance Products, Inc",ssl,springfield.edu/,,1,,,
"PBI Performance Products, Inc",ssl,springmeadownursery.com/,,1,,,
Greenhill AntiBallistics,web-browsing,springfield-1.jpg.webp,,2,,,
Greenhill AntiBallistics,web-browsing,springfield-HC9219BOSP-280x280.webp,,1,,,
Ragsdale Liggett PLLC,ssl,springmoor.us10.list-manage.com/,,1,,,
Ragsdale Liggett PLLC,ssl,springmoor.us10.list-manage.com/,,1,,,
Ragsdale Liggett PLLC,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Sutterfield Financial Group,ssl,springroll-tc.pbskids.org/,,2,,,
Sutterfield Financial Group,ssl,springhillsmarket--c.documentforce.com/,,1,,,
PBS Modular,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
PBS Modular,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
"Ameritech Die & Mold, Inc.",ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Biz Technology Solutions,ssl,springvinedesign.hbportal.co/,,1,,,
Intermark Foods,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
JJ Wade,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Moran Logistics,ssl,springvillagepocono.com/,,1,,,
ReNew Petra,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Robert Yates Racing,ssl,springbot_www_production.s3.amazonaws.com/,,1,,,
Versiant,web-browsing,springhillsuites.marriott.com/springhill-suites-locations/,,1,,,
