Top values of organization.name,Top values of network.application,Top values of source.ip,Count of records,Analysis Conducted(Y/N) ,Threat Found(Y/N) ,Device name 
Town of Mooresville,trendmicro,172.30.222.81,701,,,
Town of Mooresville,trendmicro,172.30.220.131,223,,,
Town of Mooresville,trendmicro,172.16.18.24,133,,,
Town of Mooresville,trendmicro,172.16.18.28,110,,,
Town of Mooresville,trendmicro,192.168.1.26,77,,,
Town of Mooresville,trendmicro,192.168.1.14,68,,,
Town of Mooresville,trendmicro,192.168.1.20,63,,,
Town of Mooresville,trendmicro,192.168.2.87,41,,,
Town of Mooresville,trendmicro,192.168.2.85,16,,,
Town of Mooresville,trendmicro,192.168.2.74,15,,,
Town of Mooresville,trendmicro,192.168.2.78,12,,,
Town of Mooresville,trendmicro,192.168.2.79,12,,,
Town of Mooresville,trendmicro,192.168.2.92,9,,,
Town of Mooresville,trendmicro,192.168.2.93,6,,,
Town of Mooresville,trendmicro,192.168.2.61,2,,,
Town of Mooresville,trendmicro,192.168.2.75,2,,,
Town of Mooresville,trendmicro,192.168.2.80,2,,,
Cabarrus County,trendmicro,192.168.2.99,313,,,
Cabarrus County,trendmicro,192.168.100.69,2,,,
Neal and Harwell,trendmicro,192.168.10.107,134,,,
Neal and Harwell,trendmicro,10.124.186.241,52,,,
Gaston Capital Partners,trendmicro,10.124.189.20,111,,,
Robert Yates Racing,trendmicro,10.124.189.230,94,,,
Robert Yates Racing,trendmicro,10.124.189.12,6,,,
"PBI Performance Products, Inc",trendmicro,10.124.190.199,21,,,
"PBI Performance Products, Inc",trendmicro,10.124.186.132,18,,,
"PBI Performance Products, Inc",trendmicro,10.124.188.39,6,,,
"PBI Performance Products, Inc",trendmicro,10.120.0.155,6,,,
"PBI Performance Products, Inc",trendmicro,10.142.37.60,6,,,
"PBI Performance Products, Inc",trendmicro,130.51.1.216,6,,,
"PBI Performance Products, Inc",trendmicro,10.2.66.50,6,,,
"PBI Performance Products, Inc",trendmicro,,3,,,
"PBI Performance Products, Inc",trendmicro,,3,,,
"PBI Performance Products, Inc",trendmicro,,3,,,
"PBI Performance Products, Inc",trendmicro,,3,,,
New Jersey Urology,trendmicro-earthagent,,49,,,
Pope Flynn Group,trendmicro,,48,,,
FP1 Strategies,trendmicro,,8,,,
FP1 Strategies,trendmicro,,8,,,
FP1 Strategies,trendmicro,,8,,,
FP1 Strategies,trendmicro,,6,,,
FP1 Strategies,trendmicro,,6,,,
FP1 Strategies,trendmicro,,4,,,
FP1 Strategies,trendmicro,,2,,,
Moran Logistics,trendmicro,,24,,,
Sterling Construction,ssl,,12,,,
Ragsdale Liggett PLLC,trendmicro,,4,,,
Joe Gibbs Racing,trendmicro,,1,,,
